,time,"('susceptible', '0-4')","('susceptible', '5-9')","('susceptible', '10-14')","('susceptible', '15-19')","('susceptible', '20-24')","('susceptible', '25-29')","('susceptible', '30-34')","('susceptible', '35-39')","('susceptible', '40-44')","('susceptible', '45-49')","('susceptible', '50-54')","('susceptible', '55-59')","('susceptible', '60-64')","('susceptible', '65-69')","('susceptible', '70+')",susceptible,"('exposed', '0-4')","('exposed', '5-9')","('exposed', '10-14')","('exposed', '15-19')","('exposed', '20-24')","('exposed', '25-29')","('exposed', '30-34')","('exposed', '35-39')","('exposed', '40-44')","('exposed', '45-49')","('exposed', '50-54')","('exposed', '55-59')","('exposed', '60-64')","('exposed', '65-69')","('exposed', '70+')",exposed,"('infected (active)', '0-4')","('infected (active)', '5-9')","('infected (active)', '10-14')","('infected (active)', '15-19')","('infected (active)', '20-24')","('infected (active)', '25-29')","('infected (active)', '30-34')","('infected (active)', '35-39')","('infected (active)', '40-44')","('infected (active)', '45-49')","('infected (active)', '50-54')","('infected (active)', '55-59')","('infected (active)', '60-64')","('infected (active)', '65-69')","('infected (active)', '70+')",infected (active),"('infected (total)', '0-4')","('infected (total)', '5-9')","('infected (total)', '10-14')","('infected (total)', '15-19')","('infected (total)', '20-24')","('infected (total)', '25-29')","('infected (total)', '30-34')","('infected (total)', '35-39')","('infected (total)', '40-44')","('infected (total)', '45-49')","('infected (total)', '50-54')","('infected (total)', '55-59')","('infected (total)', '60-64')","('infected (total)', '65-69')","('infected (total)', '70+')",infected (total),"('removed', '0-4')","('removed', '5-9')","('removed', '10-14')","('removed', '15-19')","('removed', '20-24')","('removed', '25-29')","('removed', '30-34')","('removed', '35-39')","('removed', '40-44')","('removed', '45-49')","('removed', '50-54')","('removed', '55-59')","('removed', '60-64')","('removed', '65-69')","('removed', '70+')",removed,"('hospitalized (active)', '0-4')","('hospitalized (active)', '5-9')","('hospitalized (active)', '10-14')","('hospitalized (active)', '15-19')","('hospitalized (active)', '20-24')","('hospitalized (active)', '25-29')","('hospitalized (active)', '30-34')","('hospitalized (active)', '35-39')","('hospitalized (active)', '40-44')","('hospitalized (active)', '45-49')","('hospitalized (active)', '50-54')","('hospitalized (active)', '55-59')","('hospitalized (active)', '60-64')","('hospitalized (active)', '65-69')","('hospitalized (active)', '70+')",hospitalized (active),"('in ICU', '0-4')","('in ICU', '5-9')","('in ICU', '10-14')","('in ICU', '15-19')","('in ICU', '20-24')","('in ICU', '25-29')","('in ICU', '30-34')","('in ICU', '35-39')","('in ICU', '40-44')","('in ICU', '45-49')","('in ICU', '50-54')","('in ICU', '55-59')","('in ICU', '60-64')","('in ICU', '65-69')","('in ICU', '70+')",in ICU,"('deaths', '0-4')","('deaths', '5-9')","('deaths', '10-14')","('deaths', '15-19')","('deaths', '20-24')","('deaths', '25-29')","('deaths', '30-34')","('deaths', '35-39')","('deaths', '40-44')","('deaths', '45-49')","('deaths', '50-54')","('deaths', '55-59')","('deaths', '60-64')","('deaths', '65-69')","('deaths', '70+')",deaths
0,0.0,255923.916,306286.916,308824.74700000003,296670.663,313943.41000000003,355684.242,350781.15699999995,360781.073,346474.15699999995,314372.242,355793.41000000003,368870.663,359618.74700000003,356959.916,874313.916,5525299.175000001,0.084,0.084,0.252,0.336,0.588,0.756,0.84,0.924,0.84,0.756,0.588,0.336,0.252,0.084,0.084,6.803999999999999,0.0,0.0,0.001,0.001,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.001,0.001,0.0,0.0,0.021000000000000005,0.0,0.0,0.001,0.001,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.001,0.001,0.0,0.0,0.021000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,255923.88742534947,306286.8874253477,308824.71842536336,296670.6344253724,313943.3814253936,355684.2134254006,350781.12842540833,360781.044425413,346474.1284254092,314372.2134254087,355793.3814253871,368870.6344253657,359618.7184253598,356959.8874253465,874313.8874253416,5525298.746380667,0.08904661724821368,0.08904661889442378,0.21529479001409582,0.2784188743716113,0.46779113302770764,0.5940393118813115,0.6571633974309257,0.7202874857708937,0.6571633966428827,0.5940393044795884,0.46779113890210194,0.27841888038904195,0.2152947931895902,0.08904662008194604,0.08904662432925739,5.501888986653593,0.021349675231438745,0.021349675381986028,0.05983034236451713,0.07866131036456056,0.135972945651744,0.17363488262756993,0.1932845814951527,0.2121155498790448,0.1932845814191028,0.1736348819138045,0.1359729462170335,0.0786613109395755,0.05983034266636354,0.021349675490585893,0.021349675879006005,1.5802823775214858,0.02472094532117338,0.024720945556346255,0.06775639857344226,0.08877412491023018,0.15282730471824396,0.19486275884018736,0.2168804853472751,0.23789821225298483,0.21688048523469752,0.19486275778279835,0.15282730555744312,0.08877412576986313,0.06775639902708432,0.02472094572599229,0.024720946332751056,1.7789841409505134,0.002178358021579122,0.0021783580292956428,0.006449504365382334,0.008494442903948421,0.014810527794619749,0.018900404923181367,0.021126612714695153,0.02317155127350923,0.021126612710680923,0.01890040488552067,0.014810527824413352,0.008494442934142664,0.006449504381187774,0.00217835803486209,0.0021783580547711304,0.17144796885178962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,255923.81603571223,306286.81603570364,308824.64703575807,296670.56303579034,313943.3100358638,355684.14203588705,350781.05703591433,360780.97303593054,346474.05703591753,314372.14203591686,355793.3100358398,368870.5630357648,359618.64703574416,356959.81603569747,874313.8160356751,5525297.675537115,0.12974522410478667,0.12974523139432007,0.22461783115368317,0.2720541267468553,0.4143630331280775,0.5092356585579607,0.5566719582359697,0.6041082671536808,0.5566719556200259,0.5092356338700851,0.41436305298311465,0.2720541479712571,0.22461784270466012,0.12974523665275176,0.12974525546014493,5.076974455737373,0.045473489531040454,0.04547349072759801,0.10528087957544603,0.1348494131962555,0.2242253376999127,0.28336241134765844,0.3136012657730262,0.34316980189874563,0.3136012652792294,0.28336240669902657,0.2242253414129527,0.13484941707981837,0.10528088165656195,0.04547349159075557,0.04547349467793901,2.6477023881459663,0.05597692265731629,0.055976924169023945,0.13060105874026784,0.1674131250700111,0.2788493284547847,0.3524734689029405,0.3902855361568316,0.4270976055279241,0.3902855355579702,0.3524734632613231,0.2788493329696169,0.1674131298213344,0.1306010612976915,0.05597692525952054,0.05597692915980853,3.290250347006365,0.008745574114788116,0.008745574233957071,0.02306553128209087,0.03006066974616755,0.05137576547666622,0.06536604309739874,0.07269086159710052,0.0796860003327331,0.07269086154344578,0.06536604259298795,0.05137576587800798,0.030060670160721156,0.023065531502218295,0.008745574319921685,0.008745574627384064,0.599786040505589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,255923.7134222385,306286.7134222144,308824.5444223243,296670.46042239113,313943.20742253796,355684.03942258126,350780.9544226371,360780.8704226691,346473.954422644,314372.0394226456,355793.2074224855,368870.4604223326,359618.5444222914,356959.71342219703,874313.7134221348,5525296.136336324,0.18733231454697988,0.18733233374382194,0.25862688961180047,0.29427415833602694,0.4012160058654837,0.472510612153325,0.5081578892428273,0.5438051844212018,0.5081578841040985,0.47251056334266284,0.40121604581654624,0.2942742033679411,0.2586269150012683,0.18733234759179856,0.18733239712070368,5.1627057442664865,0.07828914669929533,0.07828915099659278,0.14852366167034275,0.18336650882435293,0.2884438726773535,0.35812958550782553,0.3935212465194123,0.42836410085481347,0.39352124511380526,0.35812957221795966,0.28844388341987726,0.18336652048917093,0.14852366808747622,0.07828915409652307,0.07828916518378505,3.485490482358586,0.10127371389328294,0.10127371918875852,0.19963601884962265,0.24831716579613713,0.39536061973957914,0.4927229361474099,0.5424040857966598,0.5910852414671931,0.542404084089988,0.4927229200060014,0.3953606327981399,0.24831718001264844,0.1996360266842527,0.10127372300874202,0.10127373667135833,4.753061804149774,0.02095630025219705,0.020956300874506957,0.04842712448213905,0.06193694172465335,0.10291758355571139,0.12993722110177255,0.1438982270723461,0.15740804550808357,0.14389822683773207,0.12993721888963816,0.10291758533031783,0.061936943606651015,0.04842712550069325,0.02095630132342104,0.02095630292901449,1.215467448988878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,255923.58458140018,306286.584581347,308824.41558152623,296670.33158163837,313943.07858187467,355683.91058193747,350780.8255820297,360780.7415820805,346473.8255820417,314371.9105820507,355793.07858178084,368870.33158152853,359618.4155814627,356959.5845813087,874313.5845811715,5525294.203725179,0.25336416518311683,0.2533642052202858,0.3069403845322451,0.33372845784810345,0.4140927498891104,0.46766901065066535,0.494457098113005,0.5212452146875102,0.4944570898104446,0.4676689312071351,0.41409281619091887,0.3337285367811299,0.30694043054539544,0.25336423410179704,0.2533643373999058,5.568477662160769,0.12130951746124771,0.1213095285153333,0.19479535934450343,0.23131360505534748,0.3413176945636803,0.41435422478771916,0.451321804185787,0.48784006479084147,0.4513218012954371,0.41435419731696055,0.34131771708458103,0.2313136305598071,0.19479537376712638,0.12130953648939065,0.12130956500953845,4.239283620227301,0.16423035385472531,0.1642303676122025,0.28043134372734346,0.33803182525101294,0.5118332991330926,0.6270343108336942,0.6856347982760643,0.7432352984827234,0.6856347946492084,0.6270342763702582,0.5118333273706349,0.3380318571768014,0.2804313617623475,0.16423037753639852,0.16423041303144542,6.286088005067953,0.04074491718537353,0.040744919266231035,0.0826827299815625,0.10337629870769317,0.1660076809741589,0.207394827071962,0.2286390678734121,0.24933263994604457,0.22863906721931448,0.2073948208823147,0.16600768598894697,0.10337630419143257,0.08268273301265268,0.04074492076729387,0.040744926136020085,1.9885135392044129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,255923.4307939061,306286.43079380423,308824.26179406565,296670.1777942348,313942.9247945738,355683.75679465185,350780.6717947884,360780.5877948597,346473.6717948072,314371.7567948313,355792.9247944224,368870.1777940494,359618.2617939555,356959.4307937309,874313.4307934681,5525291.896914149,0.32468540844402866,0.32468548132234093,0.36494669182484835,0.38507727077858084,0.44546912185435467,0.485730452132387,0.5058610528711257,0.5259916962514811,0.5058610406597657,0.4857303343862385,0.44546922209042605,0.3850773964513965,0.36494676724305997,0.3246855338943881,0.32468572192449807,6.19890319212892,0.1743705137888908,0.17437053730414417,0.24654624860210972,0.2824501547611848,0.3905297958728331,0.46233767699122474,0.4986094710983497,0.534513403380112,0.4986094660769733,0.4623376289889211,0.3905298358361638,0.2824502020211256,0.2465462760439144,0.17437055426728304,0.17437061493793715,4.9929423799711685,0.24680886437288896,0.24680889426114916,0.3764152117783568,0.44071835791196784,0.6346278522393018,0.763234234088416,0.8285373912737973,0.8928405714740079,0.8285373847163813,0.7632341714550259,0.6346279042679699,0.4407184190671623,0.3764152471606983,0.24680891582156783,0.2468089929349317,7.967142412823622,0.07015017167238992,0.0701501770954943,0.12671299402493882,0.1546783396297701,0.2392065085813014,0.2951372190196148,0.3237346875219757,0.35170004051169335,0.3237346860882037,0.29513720539649824,0.2392065197411757,0.15467835224008036,0.12671300114596806,0.07015018100754525,0.07015019499945266,2.911240278676102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,255923.25114189574,306286.25114171783,308824.0821420743,296669.99814231414,313942.7451427675,355683.5771428522,350780.4921430417,360780.4081431347,346473.49214306945,314371.5771431201,355792.7451425377,368869.99814202054,359618.0821418962,356959.25114158954,874313.2511411306,5525289.2021351615,0.40081520649796815,0.40081532809633386,0.43107063055336375,0.44619824181610396,0.49158124685654814,0.5218367168230597,0.536964359932609,0.552092062439884,0.5369643428517964,0.521836550857989,0.4915813908844463,0.4461984310607607,0.43107074692374636,0.40081541581345176,0.40081572954408806,7.010656400952148,0.23691782810201437,0.23691787235289166,0.30503602118682505,0.3389444819525179,0.44097113066413146,0.5087881627884464,0.5429978316585267,0.5769063339436209,0.5429978237574339,0.5087880867903593,0.44097119495531223,0.338944561278721,0.3050360683779238,0.23691790427403708,0.2369180184437676,5.798053320526529,0.3504518093646028,0.35045186703524556,0.4901319721181014,0.5594720025683514,0.7684921906265737,0.9071724010820512,0.9775124502457594,1.0468525370013457,0.9775124395037472,0.907172297918487,0.7684922775500945,0.5594721087117561,0.4901320348988135,0.3504519086369735,0.350452057430444,9.854222354692347,0.11112506967600294,0.11112508171306364,0.18175127401679306,0.21671496210511723,0.32230485510129364,0.39223226822801704,0.42789476665314263,0.46285846881427556,0.4278947639406958,0.3922322423409864,0.32230487655934115,0.21671498717846419,0.18175128847210584,0.11112509039620763,0.11112512145248958,3.989155116647997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,255923.0432920684,306286.04329177656,308823.87429224205,296669.79029256897,313942.5372931472,355683.3692932245,350780.28429347684,360780.2002935917,346473.2842935165,314371.36929360963,355792.53729281155,368869.79029212374,359617.8742919668,356959.0432915662,874313.0432908135,5525286.084388504,0.4826122720301931,0.4826124633795841,0.5053485410727425,0.5167165213625428,0.5508207103170052,0.5735570157792572,0.5849250411962659,0.596293147064343,0.5849250179670227,0.5735567884001259,0.550820911239417,0.5167167965135677,0.5053487137080338,0.48261260141284207,0.4826130951051839,7.989479636548126,0.3085721320748799,0.3085722086044943,0.3711251981457072,0.40227836817349943,0.4959845884709354,0.5582910956302688,0.5896908839400818,0.6208441159963147,0.5896908722572094,0.558290982541734,0.49598468569177706,0.4022784930662151,0.371125274065651,0.3085722638104758,0.3085724612611866,6.68987362373043,0.47665573486862584,0.47665583724609095,0.6239061394932595,0.6970312544510152,0.9174067559370813,1.0636572200252392,1.1377823646927414,1.210907566930521,1.1377823481921499,1.0636570606696463,0.9174068921392179,0.6970314269366602,0.6239062435604964,0.47665591109787264,0.4766561752374828,11.997098931478101,0.16552352750974816,0.16552355140061775,0.24923401877401863,0.29071254154864423,0.4159015541682342,0.49885866416195623,0.5410905980039731,0.5825691451111865,0.5410905933497803,0.4988586195348549,0.41590159161653745,0.2907125867870422,0.24923404536850546,0.16552356863471468,0.16552363027448772,5.236258236244303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,255922.80388072476,306285.80388026737,308823.63488085696,296669.5508812913,313942.2978820033,355683.129882052,350780.0448823789,360779.9608825148,346473.04488243413,314371.1298825921,355792.2978815257,368869.55088063603,359617.6348804453,356958.8038799375,874312.8038787576,5525282.493218416,0.5716129781316446,0.5716132671915846,0.5886988050381764,0.5972414902567694,0.6228698972082588,0.6399557398381658,0.6484984877575732,0.6570413429315523,0.6484984566691344,0.639955433406156,0.6228701725180367,0.5972418810714514,0.5886990543258112,0.5716134757100921,0.5716142215014504,9.138024703555859,0.3893454531502213,0.38934557773805806,0.4456565521344129,0.4737110512074646,0.5580766150634481,0.6141858556237166,0.6424422825991675,0.6704968706640438,0.6424422660096685,0.6141856940147242,0.5580767562094848,0.47371123944964194,0.44565666874713444,0.38934566761168954,0.38934598905539186,7.696024539278269,0.6272593420346027,0.6272595130419722,0.780198617509105,0.8561681132537741,1.0850768427264048,1.2370161851134425,1.3139857259718613,1.3899553512156488,1.3139857017116008,1.237015949499115,1.0850770469617113,0.8561683808773772,0.7801987818510457,0.6272596364011489,0.6272600776098591,14.443885265778672,0.23516084396004566,0.2351608876579916,0.3307637859230412,0.37816616738211967,0.5211714845364052,0.6159763524960963,0.6641768506886995,0.7115792714611124,0.6641768432283112,0.615976280613665,0.5211715456138665,0.37816624359485596,0.33076383154174116,0.2351609191802716,0.23516103192342216,6.672732339801646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,255922.52868021198,306285.5286795187,308823.35968024906,296669.2756808162,313942.02268166904,355682.8546816585,350779.76968207373,360779.6856822282,346472.76968214934,314370.8546824027,355792.0226810017,368869.2756798728,359617.3596796483,356958.5286790188,874312.5286772305,5525278.36520975,0.6697214638298655,0.6697218878625766,0.6825611588028304,0.6889806766801793,0.7082397199807837,0.7210793950611003,0.7274989989363674,0.7339187445379037,0.7274989577074037,0.7210789860560415,0.7082400930005696,0.6889812228250848,0.6825615119174585,0.6697221937461207,0.6697232877754172,10.469528298719705,0.479698927199613,0.4796991211910635,0.5296328359790957,0.554516985296356,0.6293349800291952,0.6791036207866564,0.7041531138993251,0.7290373874849913,0.7041530909662638,0.6791033959794396,0.6293351793775771,0.5545172604180326,0.5296330092252354,0.47969926113022754,0.47969976163933264,8.841317930602404,0.8045928337433899,0.8045931066211381,0.961807183772106,1.0399141371019094,1.2752353594676966,1.4314497758133375,1.5105567954995671,1.5886639351398568,1.510556760908249,1.4314494379937146,1.2752356563215121,1.0399145385768822,0.9618074341715128,0.8045933034663222,0.8045940075065545,17.24496426610375,0.32189939702237674,0.3218994721674423,0.4281257561958943,0.4808215219705921,0.6397436311035465,0.7451353256852954,0.7986658133866759,0.8513616396434379,0.798665802001139,0.7451352154386603,0.6397437259595331,0.4808216440702566,0.4281258304952633,0.3218995263746573,0.32189972025317576,8.323944021767947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
